*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=bb3614
*Date=13:47:52
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;1.62019;-25.43;90;Bottom;TXT6
2;;THT;50.3132;-44.0775;90;Bottom;J36
3;;;84.5666;-8.63127;-90;Bottom;TXT3
4;;;96.8354;-23.6371;-90;Bottom;TXT2
5;;;49.1632;-8.52656;-90;Bottom;TXT3
6;;;3.42796;-5.94898;0;Bottom;TXT1
7;;;3.73954;-11.1666;90;Bottom;TXT2
8;;THT;50.2914;-21.2198;90;Bottom;J24
9;;THT;50.2999;-28.8262;90;Bottom;J30
10;;;3.7195;-31.3858;90;Bottom;TXT2
11;;;3.73954;-16.2265;90;Bottom;TXT2
12;;;96.5402;-28.7931;-90;Bottom;TXT2
13;;;3.70016;-23.8473;90;Bottom;TXT2
14;;;16.1415;-41.3968;-90;Bottom;TXT3
15;;;43.8303;-41.4288;-90;Bottom;TXT3
16;;;28.7718;-41.4196;-90;Bottom;TXT3
17;;;41.4351;-8.5164;-90;Bottom;TXT3
18;;;5.91518;-8.47604;-90;Bottom;TXT3
19;;THT;50.2912;-5.98897;90;Bottom;J28
20;;;43.8354;-8.49975;-90;Bottom;TXT3
21;;;18.7182;-41.4154;-90;Bottom;TXT3
22;;;5.9101;-41.4052;-90;Bottom;TXT3
23;;THT;50.3053;-3.449;90;Bottom;J29
24;;;3.75958;-18.7662;90;Bottom;TXT2
25;;;38.7554;-8.49975;-90;Bottom;TXT3
26;;;26.3766;-8.50709;-90;Bottom;TXT3
27;;THT;50.2934;-36.4516;90;Bottom;J34
28;;;3.7449;-21.3014;90;Bottom;TXT2
29;;;31.5229;-41.4279;-90;Bottom;TXT3
30;;;66.7798;-41.5459;-90;Bottom;TXT3
31;;;96.5603;-31.333;-90;Bottom;TXT2
32;;THT;50.2855;-18.6804;90;Bottom;J25
33;;;97.161;-5.94898;0;Bottom;TXT1
34;;;36.35;-41.4455;-90;Bottom;TXT3
35;;THT;50.3075;-33.9116;90;Bottom;J31
36;;;8.3104;-41.3885;-90;Bottom;TXT3
37;;;89.6415;-41.5603;-90;Bottom;TXT3
38;;;74.2601;-41.5292;-90;Bottom;TXT3
39;;;97.1489;-4.02225;0;Bottom;TXT1
40;;THT;50.2993;-38.991;90;Bottom;J32
41;;;82.1612;-41.577;-90;Bottom;TXT3
42;;;8.31548;-8.45939;-90;Bottom;TXT3
43;;;59.2117;-41.4599;-90;Bottom;TXT3
44;;;36.3551;-8.5164;-90;Bottom;TXT3
45;;;31.528;-8.4989;-90;Bottom;TXT3
46;;THT;50.2991;-46.6176;90;Bottom;J35
47;;;3.7195;-26.3258;90;Bottom;TXT2
48;;;54.1317;-41.4599;-90;Bottom;TXT3
49;;;28.7769;-8.49044;-90;Bottom;TXT3
50;;THT;50.292;-23.7532;90;Bottom;J38
51;;;49.1581;-41.4557;-90;Bottom;TXT3
52;;;3.73954;-28.8859;90;Bottom;TXT2
53;;THT;50.2962;-26.2828;90;Bottom;J37
54;;;92.3977;-8.63945;-90;Bottom;TXT3
55;;;79.5879;-41.5561;-90;Bottom;TXT3
56;;;87.2463;-8.64792;-90;Bottom;TXT3
57;;;79.593;-8.62703;-90;Bottom;TXT3
58;;;10.9901;-41.4052;-90;Bottom;TXT3
59;;;56.8114;-41.4766;-90;Bottom;TXT3
60;;;21.2915;-41.4363;-90;Bottom;TXT3
61;;THT;50.2996;-16.1404;90;Bottom;J27
62;;;96.51;-18.6004;-90;Bottom;TXT2
63;;;96.5301;-21.1604;-90;Bottom;TXT2
64;;;51.7314;-41.4766;-90;Bottom;TXT3
65;;;3.42796;-45.7423;0;Bottom;TXT1
66;;;3.41582;-4.02225;0;Bottom;TXT1
67;;;3.41582;-44.0977;0;Bottom;TXT1
68;;;64.3631;-41.4516;-90;Bottom;TXT3
69;;;46.5814;-41.4372;-90;Bottom;TXT3
70;;;97.8308;-47.8429;0;Bottom;Hole1
71;;;96.5603;-36.3929;-90;Bottom;TXT2
72;;;41.43;-41.4455;-90;Bottom;TXT3
73;;;94.798;-8.6228;-90;Bottom;TXT3
74;;;56.8165;-8.54745;-90;Bottom;TXT3
75;;;69.1852;-8.60022;-90;Bottom;TXT3
76;;;71.8598;-41.5459;-90;Bottom;TXT3
77;;;13.3955;-8.45939;-90;Bottom;TXT3
78;;;3.72487;-36.4608;90;Bottom;TXT2
79;;;96.51;-13.5607;-90;Bottom;TXT2
80;;;23.6969;-8.49044;-90;Bottom;TXT3
81;;;66.7849;-8.61687;-90;Bottom;TXT3
82;;;61.9679;-8.53926;-90;Bottom;TXT3
83;;;3.73152;-39.0561;90;Bottom;TXT2
84;;THT;50.2779;-13.595;90;Bottom;J23
85;;;89.6466;-8.63127;-90;Bottom;TXT3
86;;;16.1466;-8.46786;-90;Bottom;TXT3
87;;;77.0112;-41.5375;-90;Bottom;TXT3
88;;;69.1801;-41.5292;-90;Bottom;TXT3
89;;;54.1368;-8.53079;-90;Bottom;TXT3
90;;;96.9203;-45.7531;0;Bottom;TXT1
91;;;94.7929;-41.5519;-90;Bottom;TXT3
92;;;96.5301;-16.1005;-90;Bottom;TXT2
93;;THT;50.292;-11.055;90;Bottom;J26
94;;;46.5865;-8.50822;-90;Bottom;TXT3
95;;;26.3715;-41.4363;-90;Bottom;TXT3
96;;;13.3904;-41.3885;-90;Bottom;TXT3
97;;;59.2168;-8.53079;-90;Bottom;TXT3
98;;;18.7233;-8.4862;-90;Bottom;TXT3
99;;;3.75958;-13.7266;90;Bottom;TXT2
100;;;77.0163;-8.60841;-90;Bottom;TXT3
101;;;98.5936;-25.2162;-90;Bottom;TXT4
102;;;96.5402;-33.8327;-90;Bottom;TXT2
103;;;33.9232;-41.4112;-90;Bottom;TXT3
104;;;96.8375;-38.8688;-90;Bottom;TXT2
105;;;96.9081;-44.1086;0;Bottom;TXT1
106;;;87.2412;-41.577;-90;Bottom;TXT3
107;;;74.2652;-8.60022;-90;Bottom;TXT3
108;;;82.1663;-8.64792;-90;Bottom;TXT3
109;;;71.8649;-8.61687;-90;Bottom;TXT3
110;;;92.3926;-41.5686;-90;Bottom;TXT3
111;;;61.9628;-41.4683;-90;Bottom;TXT3
112;;;33.9283;-8.48225;-90;Bottom;TXT3
113;;;2.19728;-47.8229;0;Bottom;Hole4
114;;;51.7365;-8.54745;-90;Bottom;TXT3
115;;;97.8376;-2.41376;0;Bottom;Hole2
116;;;96.5247;-11.0255;-90;Bottom;TXT2
117;;;10.9952;-8.47604;-90;Bottom;TXT3
118;;;64.3682;-8.52261;-90;Bottom;TXT3
119;;;96.5549;-26.2579;-90;Bottom;TXT2
120;;;84.5615;-41.5603;-90;Bottom;TXT3
121;;THT;50.2858;-31.3662;90;Bottom;J33
122;;;2.19503;-2.42985;0;Bottom;Hole3
123;;;3.73954;-33.9256;90;Bottom;TXT2
124;;;38.7503;-41.4288;-90;Bottom;TXT3
125;;;23.6918;-41.4196;-90;Bottom;TXT3
126;;;21.2966;-8.50709;-90;Bottom;TXT3
