*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=bb3612
*Date=18:27:44
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
110;;;4.0418;-13.7266;90;Bottom;TXT2
111;;;10.9952;-8.47604;-90;Bottom;TXT3
112;;;5.91518;-8.47604;-90;Bottom;TXT3
113;;;18.7233;-8.4862;-90;Bottom;TXT3
114;;;97.1489;-4.02225;0;Bottom;TXT1
115;;;23.6918;-41.4196;-90;Bottom;TXT3
116;;;4.00173;-33.9258;90;Bottom;TXT2
117;;;31.528;-8.4989;-90;Bottom;TXT3
118;;THT;50.2912;-5.98897;90;Bottom;J28
119;;;74.2601;-41.5292;-90;Bottom;TXT3
120;;;38.7503;-41.4288;-90;Bottom;TXT3
