*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=bb2636pp0420
*Date=18:12:57
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
110;;;4.02713;-57.4726;90;Bottom;TXT2
111;;;61.9275;-85.3503;-90;Bottom;TXT3
112;;;4.06184;-19.3573;90;Bottom;TXT2
113;;;31.528;-44.67;-90;Bottom;TXT3
114;;;96.9338;-90.0821;0;Bottom;TXT1
115;;;8.31548;-44.6305;-90;Bottom;TXT3
116;;;46.5462;-85.3192;-90;Bottom;TXT3
117;;;92.3926;-77.7397;-90;Bottom;TXT3
118;;;3.41582;-39.6289;0;Bottom;TXT1
119;;;3.46324;-6.56009;0;Bottom;TXT1
120;;;4.00709;-75.172;90;Bottom;TXT2
121;;;61.9275;-9.1103;-90;Bottom;TXT3
122;;;23.6969;-44.6615;-90;Bottom;TXT3
123;;THT;50.2991;-82.7887;90;Bottom;J35
124;;;38.7151;-85.3109;-90;Bottom;TXT3
125;;;59.2972;-37.0819;-90;Bottom;TXT3
126;;;96.5603;-70.0441;-90;Bottom;TXT2
127;;;87.2412;-77.7481;-90;Bottom;TXT3
128;;;28.8573;-37.0415;-90;Bottom;TXT3
129;;;64.3278;-85.3336;-90;Bottom;TXT3
130;;;71.8649;-44.788;-90;Bottom;TXT3
131;;;97.8376;-2.17821;0;Bottom;Hole2
132;;;8.3104;-77.5596;-90;Bottom;TXT3
133;;;79.6734;-37.1781;-90;Bottom;TXT3
134;;;23.6565;-85.3016;-90;Bottom;TXT3
135;;;41.5155;-37.0675;-90;Bottom;TXT3
136;;;31.5229;-77.5991;-90;Bottom;TXT3
137;;;94.7576;-85.434;-90;Bottom;TXT3
138;;;77.0163;-44.7795;-90;Bottom;TXT3
139;;;28.7365;-85.3016;-90;Bottom;TXT3
140;;;82.1259;-9.21895;-90;Bottom;TXT3
141;;;13.4759;-37.0105;-90;Bottom;TXT3
142;;;96.5504;-19.3122;-90;Bottom;TXT2
143;;;51.7314;-77.6477;-90;Bottom;TXT3
144;;;4.06184;-90.4974;90;Bottom;TXT2
145;;;69.1448;-85.4112;-90;Bottom;TXT3
